,problem_id,student_avg_score,type
82,a1_6_missilethreat,76.63095238095238,lab
83,a1_6_payload,80.05590062111801,lab
84,a1_6_pilot_quals,83.21666666666667,lab
85,a1_6_printer,76.27272727272727,lab
86,a1_6_runway,77.85526315789474,lab
87,a1_6_scuba,76.87777777777778,lab
88,a1_6_woodshop,72.8019801980198,lab
89,a1_7_broadband,72.29591836734694,lab
90,a1_7_digitalstorage,76.10227272727273,lab
91,a1_7_evacuation,75.60215053763442,lab
92,a1_7_missilethreat,79.07407407407408,lab
93,a1_7_payload,74.08333333333333,lab
94,a2_1_calculate,83.5,skill
95,a2_1_calculate_volume,91.05431309904154,skill
96,a2_1_equation,89.20265780730897,skill
97,a2_1_future_value,90.20618556701031,skill
98,a2_1_right_triangle,90.09433962264151,skill
99,a2_1_surface,91.07806691449814,skill
100,a2_2_bmi,73.65591397849462,skill
101,a2_2_hp,83.0,skill
102,a2_2_orbit,93.10344827586206,skill
103,a2_2_speed,91.2280701754386,skill
104,a2_2_stride,88.12949640287769,skill
105,a2_2_unladen,85.41666666666667,skill
106,a2_3_19,72.91666666666667,skill
107,a2_3_countdown,63.265306122448976,skill
108,a2_3_eighteen,69.08021390374331,skill
109,a2_3_fourty_two,74.72527472527473,skill
110,a2_3_nine,74.41916167664671,skill
111,a2_3_nineteen,72.55681818181819,skill
112,a2_3_seventeen,66.715953307393,skill
113,a2_3_thirteen,65.16666666666667,skill
114,a2_3_twenty_one,70.21602787456446,skill
115,a2_4_colon,62.600746268656714,skill
116,a2_4_comma,58.69565217391305,skill
117,a2_4_dash,53.164556962025316,skill
118,a2_4_hash,64.6046511627907,skill
119,a2_4_hyphen,61.714285714285715,skill
120,a2_4_pipe,61.111111111111114,skill
121,a2_4_semic,64.5,skill
122,a2_4_slash,60.579787234042556,skill
123,a2_5_combat,60.869565217391305,lab
124,a2_5_gameday,57.035928143712574,lab
125,a2_5_grades,58.8150289017341,lab
126,a2_5_network_traffic,58.333333333333336,lab
127,a2_5_traffic_lights,59.61538461538461,lab
